Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,136.440002,137.880005,135.910004,136.740005,133.209351,11259100
2023-05-08,137.490005,137.970001,136.479996,137.070007,133.530823,7484900
2023-05-09,135.929993,136.949997,135.210007,136.410004,132.887863,7343600
2023-05-10,137.949997,138.059998,134.869995,136.479996,132.956039,8133400
2023-05-11,135.000000,136.809998,134.899994,136.050003,132.537155,7057300
2023-05-12,136.820007,136.990005,133.130005,134.100006,130.637512,9986400
2023-05-15,134.270004,135.669998,133.960007,135.229996,131.738327,7639500
2023-05-16,135.460007,135.940002,133.960007,134.320007,130.851837,6477200
2023-05-17,135.899994,138.589996,135.460007,138.449997,134.875183,12711500
2023-05-18,138.270004,139.729996,137.759995,139.500000,135.898071,10999600
2023-05-19,139.789993,140.490005,138.130005,139.179993,135.586334,13490700
2023-05-22,141.000000,141.639999,137.660004,138.029999,134.466034,11402500
2023-05-23,137.539993,139.029999,136.460007,136.589996,133.063217,9514900
2023-05-24,135.399994,136.350006,135.080002,135.339996,131.845474,8578000
2023-05-25,134.820007,136.270004,134.580002,135.669998,132.166962,8472500
2023-05-26,136.110001,137.600006,135.630005,136.940002,133.404175,8579900
2023-05-30,136.800003,137.720001,136.020004,137.460007,133.910751,7399900
2023-05-31,136.729996,136.839996,134.399994,135.710007,132.205933,14219900
2023-06-01,136.520004,138.229996,135.449997,137.580002,134.027649,12248100
2023-06-02,139.559998,141.479996,139.339996,140.470001,136.843048,12917200
2023-06-05,140.110001,140.110001,138.130005,139.089996,135.498657,8511900
2023-06-06,138.679993,140.100006,138.210007,139.339996,135.742203,9329500
2023-06-07,139.550003,141.270004,138.830002,140.690002,137.057358,9281400
2023-06-08,140.669998,140.889999,139.479996,140.729996,137.096313,7368100
2023-06-09,140.350006,141.800003,140.210007,141.009995,137.369095,7249100
2023-06-12,141.070007,141.320007,139.759995,141.000000,137.359344,7596600
2023-06-13,140.479996,142.869995,140.139999,142.020004,138.352997,7701600
2023-06-14,143.000000,143.610001,140.699997,141.490005,137.836700,9068700
2023-06-15,140.589996,143.399994,140.029999,143.089996,139.395370,9343100
2023-06-16,143.050003,143.970001,142.500000,143.259995,139.560989,13812100
2023-06-20,142.610001,143.000000,141.039993,142.529999,138.849838,8428600
2023-06-21,142.899994,144.020004,141.690002,142.320007,138.645279,9926500
2023-06-22,142.309998,142.600006,138.949997,139.580002,135.975998,10075200
2023-06-23,138.539993,139.179993,137.619995,138.850006,135.264862,9907500
2023-06-26,138.869995,140.009995,137.690002,139.190002,135.596069,8429700
2023-06-27,139.000000,139.839996,138.539993,139.199997,135.605835,8154000
2023-06-28,139.160004,139.210007,137.960007,138.589996,135.011581,7558600
2023-06-29,140.070007,143.559998,139.850006,143.429993,139.726593,15423200
2023-06-30,144.600006,146.000000,143.660004,145.440002,141.684708,14208500
2023-07-03,146.190002,147.479996,146.000000,146.610001,142.824478,8021600
2023-07-05,144.940002,145.429993,144.360001,144.639999,141.873047,8934900
2023-07-06,143.020004,143.389999,141.440002,143.210007,140.470398,9709500
2023-07-07,143.910004,145.839996,143.000000,144.339996,141.578766,8977500
2023-07-10,144.500000,145.990005,144.500000,145.149994,142.373291,9100100
2023-07-11,146.339996,147.820007,145.710007,147.419998,144.599854,11265600
2023-07-12,147.449997,149.869995,147.000000,148.149994,145.315903,11323200
2023-07-13,148.699997,149.369995,147.750000,148.869995,146.022125,11234900
2023-07-14,151.550003,152.889999,148.410004,149.770004,146.904907,27011600
2023-07-17,150.350006,153.750000,150.350006,153.380005,150.445847,17262400
2023-07-18,153.380005,154.399994,152.820007,153.660004,150.720505,13491700
2023-07-19,152.750000,155.210007,152.220001,154.250000,151.299194,12510000
2023-07-20,154.529999,156.589996,154.410004,156.149994,153.162857,9935900
2023-07-21,155.800003,156.139999,154.690002,154.949997,151.985809,10633100
2023-07-24,154.970001,158.789993,154.729996,158.000000,154.977463,14381400
2023-07-25,157.300003,157.720001,155.960007,156.820007,153.820053,9944700
2023-07-26,156.710007,158.250000,156.279999,157.759995,154.742050,8728600
2023-07-27,157.770004,158.779999,155.550003,156.020004,153.035355,10778400
2023-07-28,157.279999,157.600006,156.440002,156.910004,153.908325,9103800
2023-07-31,157.179993,159.380005,157.149994,157.960007,154.938232,8892700
2023-08-01,157.429993,158.000000,156.149994,157.179993,154.173141,6853900
2023-08-02,155.559998,155.690002,153.940002,155.399994,152.427200,8299400
2023-08-03,155.000000,156.919998,154.350006,156.350006,153.359024,6084000
2023-08-04,156.399994,157.800003,155.699997,156.020004,153.035355,6206600
2023-08-07,156.600006,157.699997,156.600006,156.759995,153.761185,7251800
2023-08-08,154.320007,155.979996,152.589996,155.880005,152.898026,8623400
2023-08-09,155.320007,155.520004,153.470001,153.789993,150.848007,6277800
2023-08-10,154.380005,155.440002,153.089996,153.559998,150.622406,5995100
2023-08-11,153.029999,154.520004,152.630005,154.449997,151.495377,5178000
2023-08-14,153.610001,154.919998,152.919998,154.770004,151.809250,5044300
2023-08-15,152.850006,153.270004,150.229996,150.830002,147.944641,10300300
2023-08-16,150.600006,150.960007,149.679993,150.190002,147.316879,6978200
2023-08-17,150.880005,151.259995,148.399994,148.630005,145.786728,9953900
2023-08-18,147.649994,149.500000,147.440002,148.970001,146.120209,8516900
2023-08-21,149.649994,150.100006,148.020004,149.479996,146.620453,8327000
2023-08-22,149.259995,149.639999,145.850006,146.380005,143.579758,9682000
2023-08-23,146.350006,147.589996,145.460007,147.369995,144.550812,7858000
2023-08-24,147.500000,149.410004,146.990005,147.229996,144.413498,6534000
2023-08-25,147.279999,148.619995,145.850006,147.050003,144.236938,6695500
2023-08-28,147.570007,148.610001,147.130005,147.559998,144.737183,5094100
2023-08-29,147.710007,148.850006,147.179993,148.759995,145.914230,6337000
2023-08-30,148.619995,149.149994,147.190002,148.160004,145.325714,6277300
2023-08-31,148.259995,148.350006,145.960007,146.330002,143.530716,10933900
2023-09-01,146.089996,148.080002,145.699997,146.820007,144.011337,7902100
2023-09-05,147.160004,148.210007,145.009995,145.199997,142.422333,7854700
2023-09-06,144.699997,145.539993,144.110001,144.960007,142.186935,8629200
2023-09-07,144.130005,145.270004,143.389999,143.720001,140.970642,8373700
2023-09-08,143.369995,144.119995,142.649994,143.830002,141.078552,7107900
2023-09-11,144.750000,145.050003,143.690002,144.460007,141.696487,6854200
2023-09-12,144.500000,147.320007,144.050003,146.339996,143.540512,8363200
2023-09-13,147.339996,147.699997,145.820007,146.410004,143.609192,8325900
2023-09-14,147.839996,149.899994,147.520004,149.250000,146.394852,10034900
2023-09-15,148.919998,149.729996,148.309998,148.809998,145.963272,19824100
2023-09-18,148.160004,149.139999,147.750000,149.119995,146.267334,6512400
2023-09-19,149.500000,149.720001,147.210007,148.929993,146.080978,7943400
2023-09-20,149.649994,150.250000,148.139999,148.300003,145.463028,7332000
2023-09-21,147.580002,148.850006,146.630005,147.139999,144.325211,8052400
2023-09-22,147.289993,147.509995,145.190002,145.729996,142.942184,7071700
2023-09-25,145.350006,146.520004,143.699997,146.449997,143.648422,7044700
2023-09-26,144.600006,145.839996,144.229996,144.929993,142.157486,7468400
